COMPUESTO,Fórmula,Nomenclatura Tradicional,Nomenclatura de Stock,Nomenclatura Sistemática
Compuestos Binarios,BrCl,Cloruro hipobromoso,Cloruro de bromo (I),Monocloruro de bromo
Compuestos Binarios,BrF,Fluoruro hipobromoso,Fluoruro de bromo (I),Monofluoruro de bromo
Compuestos Binarios,ClF,Fluoruro hipocloroso,Fluoruro de cloro (I),Monofluoruro de cloro
Compuestos Binarios,IBr,Bromuro hipoyodoso,Bromuro de yodo (I),Monobromuro de yodo
Compuestos Binarios,ICl,Cloruro hipoyodoso,Cloruro de yodo (I),Monocloruro de yodo
Compuestos Binarios,IF,Fluoruro hipoyodoso,Fluoruro de yodo (I),Monofluoruro de yodo
Compuestos Binarios,S₂I₂,Yoduro hiposulfuroso,Yoduro de azufre (II),Diyoduro de diazufre
Compuestos Binarios,S₂Br₂,Bromuro hiposulfuroso,Bromuro de azufre (II),Dibromuro de diazufre
Compuestos Binarios,SCl₂,Cloruro hiposulfuroso,Cloruro de azufre (II),Dicloruro de azufre
Compuestos Binarios,SF₂,Fluoruro hiposulfuroso,Fluoruro de azufre (II),Difluoruro de azufre
Compuestos Binarios,AsI₃,Yoduro arsenioso,Yoduro de arsénico (III),Triyoduro de arsénico
Compuestos Binarios,AsBr₃,Bromuro arsenioso,Bromuro de arsénico (III),Tribromuro de arsénico
Compuestos Binarios,AsCl₃,Cloruro arsenioso,Cloruro de arsénico (III),Tricloruro de arsénico
Compuestos Binarios,AsF₃,Fluoruro arsenioso,Fluoruro de arsénico (III),Trifluoruro de arsénico
Compuestos Binarios,BI₃,Yoduro bórico,Yoduro de boro (III),Triyoduro de boro
Compuestos Binarios,BBr₃,Bromuro bórico,Bromuro de boro (III),Tribromuro de boro
Compuestos Binarios,BCl₃,Cloruro bórico,Cloruro de boro (III),Tricloruro de boro
Compuestos Binarios,BF₃,Fluoruro bórico,Fluoruro de boro (III),Trifluoruro de boro
Compuestos Binarios,NI₃,Yoduro nitroso,Yoduro de nitrógeno (III),Triyoduro de nitrógeno
Compuestos Binarios,NBr₃,Bromuro nitroso,Bromuro de nitrógeno (III),Tribromuro de nitrógeno
Compuestos Binarios,NCl₃,Cloruro nitroso,Cloruro de nitrógeno (III),Tricloruro de nitrógeno
Compuestos Binarios,NF₃,Fluoruro nitroso,Fluoruro de nitrógeno (III),Trifluoruro de nitrógeno
Compuestos Binarios,PI₃,Yoduro fosforoso,Yoduro de fósforo (III),Triyoduro de fósforo
Compuestos Binarios,PBr₃,Bromuro fosforoso,Bromuro de fósforo (III),Tribromuro de fósforo
Compuestos Binarios,PCl₃,Cloruro fosforoso,Cloruro de fósforo (III),Tricloruro de fósforo
Compuestos Binarios,PF₃,Fluoruro fosforoso,Fluoruro de fósforo (III),Trifluoruro de fósforo
Compuestos Binarios,SbI₃,Yoduro antimonioso,Yoduro de antimonio (III),Triyoduro de antimonio
Compuestos Binarios,SbBr₃,Bromuro antimonioso,Bromuro de antimonio (III),Tribromuro de antimonio
Compuestos Binarios,SbCl₃,Cloruro antimonioso,Cloruro de antimonio (III),Tricloruro de antimonio
Compuestos Binarios,SbF₃,Fluoruro antimonioso,Fluoruro de antimonio (III),Trifluoruro de antimonio
Compuestos Binarios,CI₄,Yoduro carbónico,Yoduro de carbono (IV),Tetrayoduro de carbono
Compuestos Binarios,CBr₄,Bromuro carbónico,Bromuro de carbono (IV),Tetrabromuro de carbono
Compuestos Binarios,CCl₄,Cloruro carbónico,Cloruro de carbono (IV),Tetracloruro de carbono
Compuestos Binarios,CF₄,Fluoruro carbónico,Fluoruro de carbono (IV),Tetrafluoruro de carbono
Compuestos Binarios,SeI₄,Yoduro selenioso,Yoduro de selenio (IV),Tetrayoduro de selenio
Compuestos Binarios,SeBr₄,Bromuro selenioso,Bromuro de selenio (IV),Tetrabromuro de selenio
Compuestos Binarios,SeCl₄,Cloruro selenioso,Cloruro de selenio (IV),Tetracloruro de selenio
Compuestos Binarios,SeF₄,Fluoruro selenioso,Fluoruro de selenio (IV),Tetrafluoruro de selenio
Compuestos Binarios,SiI₄,Yoduro silícico,Yoduro de silicio (IV),Tetrayoduro de silicio
Compuestos Binarios,SiBr₄,Bromuro silícico,Bromuro de silicio (IV),Tetrabromuro de silicio
Compuestos Binarios,SiCl₄,Cloruro silícico,Cloruro de silicio (IV),Tetracloruro de silicio
Compuestos Binarios,SiF₄,Fluoruro silícico,Fluoruro de silicio (IV),Tetrafluoruro de silicio
Compuestos Binarios,TeI₄,Yoduro teluroso,Yoduro de Teluro (IV),Tetrayoduro de Teluro
Compuestos Binarios,TeBr₄,Bromuro teluroso,Bromuro de Teluro (IV),Tetrabromuro de Teluro
Compuestos Binarios,TeCl₄,Cloruro teluroso,Cloruro de Teluro (IV),Tetracloruro de Teluro
Compuestos Binarios,TeF₄,Fluoruro teluroso,Fluoruro de Teluro (IV),Tetrafluoruro de Teluro
Compuestos Binarios,As₂Te₃,Telururo arsenioso,Telururo de arsénico (III),Tritelururo de diarsénico
Compuestos Binarios,As₂Se₃,Seleniuro arsenioso,Seleniuro de arsénico (III),Triseleniuro de diarsénico
Compuestos Binarios,As₂S₃,Sulfuro arsenioso,Sulfuro de arsénico (III),Trisulfuro de diarsénico
Compuestos Binarios,B₂Te₃,Telururo bórico,Telururo de boro (III),Tritelururo de diboro
Compuestos Binarios,B₂Se₃,Seleniuro bórico,Seleniuro de boro (III),Triseleniuro de diboro
Compuestos Binarios,B₂S₃,Sulfuro bórico,Sulfuro de boro (III),Trisulfuro de diboro
Compuestos Binarios,N₂Te₃,Telururo nitroso,Telururo de nitrógeno (III),Tritelururo de dinitrógeno
Compuestos Binarios,N₂Se₃,Seleniuro nitroso,Seleniuro de nitrógeno (III),Triseleniuro de dinitrógeno
Compuestos Binarios,N₂S₃,Sulfuro nitroso,Sulfuro de nitrógeno (III),Trisulfuro de dinitrógeno
Compuestos Binarios,P₂Te₃,Telururo fosforoso,Telururo de fósforo (III),Tritelururo de difósforo
Compuestos Binarios,P₂Se₃,Seleniuro fosforoso,Seleniuro de fósforo (III),Triseleniuro de difósforo
Compuestos Binarios,P₂S₃,Sulfuro fosforoso,Sulfuro de fósforo (III),Trisulfuro de difósforo
Compuestos Binarios,Sb₂Te₃,Telururo antimonioso,Telururo de antimonio (III),Tritelururo de diantimonio
Compuestos Binarios,Sb₂Se₃,Seleniuro antimonioso,Seleniuro de antimonio (III),Triseleniuro de diantimonio
Compuestos Binarios,Sb₂S₃,Sulfuro antimonioso,Sulfuro de antimonio (III),Trisulfuro de diantimonio
Compuestos Binarios,CTe₂,Telururo carbónico,Telururo de carbono (IV),Ditelururo de carbono
Compuestos Binarios,CSe₂,Seleniuro carbónico,Seleniuro de carbono (IV),Diseleniuro de carbono
Compuestos Binarios,CS₂,Sulfuro carbónico,Sulfuro de carbono (IV),Disulfuro de carbono
Compuestos Binarios,SeS₂,Sulfuro selenioso,Sulfuro de selenio (IV),Disulfuro de selenio
Compuestos Binarios,SiTe₂,Telururo silícico,Telururo de silicio (IV),Ditelururo de silicio
Compuestos Binarios,SiSe₂,Seleniuro silícico,Seleniuro de silicio (IV),Diseleniuro de silicio
Compuestos Binarios,SiS₂,Sulfuro silícico,Sulfuro de silicio (IV),Disulfuro de silicio
Compuestos Binarios,TeSe₂,Seleniuro teluroso,Seleniuro de Teluro (IV),Diseleniuro de Teluro
Compuestos Binarios,TeS₂,Sulfuro teluroso,Sulfuro de Teluro (IV),Disulfuro de Teluro
Compuestos Binarios,AsP,Fosfuro arsenioso,Fosfuro de arsénico (III),Monofosfuro de arsénico
Compuestos Binarios,AsN,Nitruro arsenioso,Nitruro de arsénico (III),Mononitruro de arsénico
Compuestos Binarios,BSb,Antimoniuro bórico,Antimoniuro de boro (III),Monoantimoniuro de boro
Compuestos Binarios,BAs,Arsenuro bórico,Arsenuro de boro (III),Monoarsenuro de boro
Compuestos Binarios,BP,Fosfuro bórico,Fosfuro de boro (III),Monofosfuro de boro
Compuestos Binarios,BN,Nitruro bórico,Nitruro de boro (III),Mononitruro de boro
Compuestos Binarios,PN,Nitruro fosforoso,Nitruro de fósforo (III),Mononitruro de fósforo
